"In","Age","Nat.","Position","Pos","Market value","Left","Left","Fee","Team","team_logo"
"Martin DúbravkaM. Dúbravka",36,NA,"Goalkeeper","GK","€1.00m",NA,"Newcastle","?","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Kyle WalkerK. Walker",35,NA,"Right-Back","RB","€4.00m",NA,"Man City","?","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Darko ChurlinovD. Churlinov",24,NA,"Left Winger","LW","€1.50m",NA,"Jagiellonia","End of loan30.06.2025","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Hannes DelcroixH. Delcroix",26,NA,"Centre-Back","CB","€3.50m",NA,"Swansea","End of loan30.06.2025","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Benson ManuelB. Manuel",29,NA,"Right Winger","RW","€3.50m",NA,"Swansea","End of loan31.05.2026","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Aaron RamseyA. Ramsey",23,NA,"Attacking Midfield","AM","€10.00m",NA,"Leicester","End of loan31.05.2026","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Zeki AmdouniZ. Amdouni",24,NA,"Centre-Forward","CF","€12.00m",NA,"Benfica","End of loan30.06.2025","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Oluwaseun AdewumiO. Adewumi",20,NA,"Attacking Midfield","AM","€350k",NA,"Dundee FC","End of loan30.06.2025","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Owen DodgsonO. Dodgson",23,NA,"Left-Back","LB","€300k",NA,"Stockport","End of loan31.05.2026","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Andréas HountondjiA. Hountondji",22,NA,"Centre-Forward","CF","€2.50m",NA,"Standard Liège","End of loan30.06.2025","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Han-Noah MassengoH. Massengo",23,NA,"Central Midfield","CM","€5.00m",NA,"AJ Auxerre","End of loan30.06.2025","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"Hjalmar EkdalH. Ekdal",26,NA,"Centre-Back","CB","€4.50m",NA,"FC Groningen","End of loan30.06.2025","Burnley","https://tmssl.akamaized.net//images/wappen/homepageSmall/1132.png?lm=1686818840"
"João PedroJoão Pedro",23,NA,"Centre-Forward","CF","€50.00m",NA,"Brighton","€70.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Jamie GittensJ. Gittens",20,NA,"Left Winger","LW","€50.00m",NA,"Dortmund","€56.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Alejandro GarnachoA. Garnacho",21,NA,"Left Winger","LW","€45.00m",NA,"Man Utd","€46.20m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"EstêvãoEstêvão",18,NA,"Right Winger","RW","€60.00m",NA,"Palmeiras","€45.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Jorrel HatoJ. Hato",19,NA,"Left-Back","LB","€35.00m",NA,"Ajax","€44.18m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Liam DelapL. Delap",22,NA,"Centre-Forward","CF","€40.00m",NA,"Ipswich","€35.50m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
